job_category,skills,field_of_study
Data Analyst,adaptability | Big Data | Business Intelligence | critical thinking | Customer Service | Dashboard | Data Cleaning | data visualization | Descriptive Statistics | Google Analytics | Leadership | Machine Learning | microsoft powerpoint | multitasking | NumPy | Pivot Table | Power BI | project coordination | PyTorch | Reporting | spark | SQL | Tableau | teamwork | time management | Time Management | time series analysis,Computer Science
Finance & Accounting Executive,accounting | Accounting | Accounts Payable | advanced excel | auditing | Budgeting | Cash Flow Management | Communication | communication skills | Costing | customer service | Customer Service | Excel | Financial Analysis | forecasting | Forecasting | Investment Analysis | investment analysis | leadership | Leadership | Project Coordination | Reconciliation | Risk Management | teamwork,Accounting & Finance
Hospitality & Tourism Executive,adaptability | basic life support | Check In | Check Out | communication skills | Customer Service | Food and Beverage | Front Office | Guest Service | leadership | medical terminology | microsoft powerpoint | Microsoft Word | patient assessment | patient care | Phlebotomy | POS System | presentation skills | Presentation Skills | project coordination | Reservation | Teamwork | time management | vital signs monitoring | Vital Signs Monitoring,Business Administration
HR Specialist,Communication | Compensation & Benefits | Conflict Resolution | Critical Thinking | Employee Engagement | Employee Relations | HR Policies | Interviewing | Labour Law | Leadership | Microsoft Word | Onboarding | Performance Management | Presentation Skills | Project Coordination | Talent Acquisition | Teamwork | Training & Development,Human Resource Management
Pharmacist,attention to detail | basic life support | Clinical Procedures | Communication | communication skills | customer service | Customer Service | Drug Information | electronic medical records | Emergency Response | Infection Control | Inventory Management | Leadership | Microsoft Word | patient assessment | Patient Care | patient care | Pharmacy Management | Phlebotomy | Prescription Review | Presentation Skills | problem solving | teamwork | Teamwork | time management | Time Management | Vital Signs Monitoring,Pharmacy
Pharmacist,Clinical Procedures | Communication | Counselling | Critical Thinking | Dispensing | Drug Information | Emergency Response | Infection Control | Inventory Management | Medication Counselling | OTC Recommendation | Pharmacy Management | Phlebotomy | Prescription Review | Presentation Skills | Problem Solving | Teamwork | Vital Signs Monitoring,Pharmacy
Web Developer,Backend Development | Bootstrap | C# | C++ | Cloud Deployment | Communication | Critical Thinking | CSS | Debugging | Docker | Frontend Development | Git | HTML | JavaScript | Leadership | Microsoft Word | NoSQL | Problem Solving | Python | React | TypeScript | Unit Testing | Web Accessibility | Web Performance,Information Technology
Data Scientist,adaptability | analytical thinking | attention to detail | Communication | critical thinking | Critical Thinking | customer service | Customer Service | Data Preprocessing | Feature Engineering | Jupyter Notebook | Leadership | Machine Learning | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | project coordination | Python | Scikit-Learn | Teamwork | time management | Time Management,Statistics
Software Engineer,A/B Testing | Clustering | Code Review | communication skills | Critical Thinking | Excel | Microservices | Object Oriented Programming | problem solving | Problem Solving | Python | PyTorch | R | REST API | Scrum | Spark | SQL | Statistics | Tableau | teamwork,Data Science
UI/UX Designer,adobe photoshop | adobe xd | Branding | Communication | communication skills | critical thinking | Design System | Figma | Illustrator | Information Architecture | Interaction Design | leadership | presentation skills | Typography | typography | usability testing | User Flow | user research | User Research | ux design | Visual Design | Wireframing,Computer Science
Electrical Engineer,3D Modelling | attention to detail | AutoCAD | Circuit Design | Commissioning | Communication | customer service | Maintenance | microsoft powerpoint | PLC | Power Systems | preventive maintenance | project coordination | Quality Control | root cause analysis | Root Cause Analysis | Safety Compliance | simulation software | Troubleshooting | Wiring Diagram,Electrical Engineering
Supply Chain Executive,A/B Testing | big data | Classification | Critical Thinking | Data Visualization | Deep Learning | Demand Forecasting | Excel | Inventory Management | Logistics | microsoft word | Microsoft Word | Order Processing | Pandas | power bi | Power BI | Python | R | Shipping | Spark | SQL | statistical modelling | Supply Planning | Teamwork | Time Management | Time Series Analysis | time series analysis,Logistics
Digital Marketing Specialist,Adobe Photoshop | Campaign Management | Canva | Content Marketing | Copywriting | Critical Thinking | Customer Service | Digital Marketing | Email Marketing | Facebook Ads | Google Ads | Influencer Marketing | Instagram Marketing | Market Research | Marketing Analytics | Microsoft PowerPoint | Microsoft Word | SEO | Social Media Marketing | Storytelling | Time Management,Mass Communication
Civil Engineer,adaptability | Bill of Quantities | Concrete | Customer Service | hvac design | leadership | Leadership | manufacturing processes | microsoft powerpoint | microsoft word | Microsoft Word | PLC | presentation skills | Project Coordination | project management | Quality Control | quality control | root cause analysis | Root Cause Analysis | Safety Compliance | safety compliance | SolidWorks | Structural Design | Technical Documentation | Tendering | time management,Civil Engineering
Data Analyst,a/b testing | Business Intelligence | classification models | clustering | critical thinking | Data Interpretation | data visualization | Data Visualization | data warehousing | Deep Learning | Descriptive Statistics | ETL | Excel | feature engineering | google analytics | hypothesis testing | Leadership | Machine Learning | microsoft powerpoint | numpy | Pivot Table | presentation skills | Problem Solving | Project Coordination | project coordination | pytorch | PyTorch | Tableau | tableau,Data Science
Pharmacist,adaptability | Communication | customer service | Customer Service | Dispensing | Drug Information | Electronic Medical Records | electronic medical records | Emergency Response | health education | Health Education | Inventory Management | Leadership | Medical Terminology | Medication Counselling | microsoft powerpoint | OTC Recommendation | Pharmacy Management | Phlebotomy | Prescription Review | Project Coordination | teamwork | Teamwork | time management | Time Management | Vital Signs Monitoring | wound care,Pharmacy
Graphic Designer,Adobe Illustrator | Adobe Photoshop | Adobe XD | Branding | Communication | Creative Thinking | Critical Thinking | customer service | Design Systems | Figma | Layout Design | Logo Design | Presentation Skills | Print Design | problem solving | Project Coordination | Responsive Design | Time Management | Typography | User Research | Wireframing,Multimedia
